symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-04-20 00:00:00+00:00,2.06,2.15,2.02,2.12,219178,2.06,2.15,2.02,2.12,219178,0.0,1.0
TCS,2020-04-21 00:00:00+00:00,2.03,2.07,1.98,2.04,230317,2.03,2.07,1.98,2.04,230317,0.0,1.0
TCS,2020-04-22 00:00:00+00:00,1.99,2.08,1.95,2.02,272975,1.99,2.08,1.95,2.02,272975,0.0,1.0
TCS,2020-04-23 00:00:00+00:00,2.05,2.12,1.969,1.98,304022,2.05,2.12,1.969,1.98,304022,0.0,1.0
TCS,2020-04-24 00:00:00+00:00,2.02,2.1,1.97,2.1,216561,2.02,2.1,1.97,2.1,216561,0.0,1.0
TCS,2020-04-27 00:00:00+00:00,2.18,2.18,2.03,2.05,534515,2.18,2.18,2.03,2.05,534515,0.0,1.0
TCS,2020-04-28 00:00:00+00:00,2.31,2.345,2.25,2.25,642639,2.31,2.345,2.25,2.25,642639,0.0,1.0
TCS,2020-04-29 00:00:00+00:00,2.32,2.44,2.3,2.37,543477,2.32,2.44,2.3,2.37,543477,0.0,1.0
TCS,2020-04-30 00:00:00+00:00,2.1,2.31,2.0799,2.31,354170,2.1,2.31,2.0799,2.31,354170,0.0,1.0
TCS,2020-05-01 00:00:00+00:00,2.11,2.2,1.96,2.2,252790,2.11,2.2,1.96,2.2,252790,0.0,1.0
TCS,2020-05-04 00:00:00+00:00,2.04,2.1,1.87,2.06,171585,2.04,2.1,1.87,2.06,171585,0.0,1.0
TCS,2020-05-05 00:00:00+00:00,2.03,2.05,1.98,2.0,145238,2.03,2.05,1.98,2.0,145238,0.0,1.0
TCS,2020-05-06 00:00:00+00:00,2.0,2.08,1.95,2.0,210480,2.0,2.08,1.95,2.0,210480,0.0,1.0
TCS,2020-05-07 00:00:00+00:00,2.03,2.08,2.0,2.0,133717,2.03,2.08,2.0,2.0,133717,0.0,1.0
TCS,2020-05-08 00:00:00+00:00,2.28,2.3,2.0,2.08,256100,2.28,2.3,2.0,2.08,256100,0.0,1.0
TCS,2020-05-11 00:00:00+00:00,2.26,2.4,2.12,2.24,321773,2.26,2.4,2.12,2.24,321773,0.0,1.0
TCS,2020-05-12 00:00:00+00:00,2.57,2.6,2.31,2.4,563402,2.57,2.6,2.31,2.4,563402,0.0,1.0
TCS,2020-05-13 00:00:00+00:00,2.08,2.43,2.0,2.31,826318,2.08,2.43,2.0,2.31,826318,0.0,1.0
TCS,2020-05-14 00:00:00+00:00,2.02,2.2,1.91,2.08,379326,2.02,2.2,1.91,2.08,379326,0.0,1.0
TCS,2020-05-15 00:00:00+00:00,2.02,2.085,1.95,2.01,245350,2.02,2.085,1.95,2.01,245350,0.0,1.0
TCS,2020-05-18 00:00:00+00:00,2.1,2.17,2.05,2.09,272575,2.1,2.17,2.05,2.09,272575,0.0,1.0
TCS,2020-05-19 00:00:00+00:00,2.07,2.16,2.04,2.12,178791,2.07,2.16,2.04,2.12,178791,0.0,1.0
TCS,2020-05-20 00:00:00+00:00,2.09,2.14,2.05,2.11,208768,2.09,2.14,2.05,2.11,208768,0.0,1.0
TCS,2020-05-21 00:00:00+00:00,2.18,2.28,2.1,2.1,376842,2.18,2.28,2.1,2.1,376842,0.0,1.0
TCS,2020-05-22 00:00:00+00:00,2.25,2.27,2.1678,2.21,141088,2.25,2.27,2.1678,2.21,141088,0.0,1.0
TCS,2020-05-26 00:00:00+00:00,2.65,2.72,2.31,2.33,583051,2.65,2.72,2.31,2.33,583051,0.0,1.0
TCS,2020-05-27 00:00:00+00:00,3.02,3.05,2.72,2.79,452034,3.02,3.05,2.72,2.79,452034,0.0,1.0
TCS,2020-05-28 00:00:00+00:00,2.83,3.19,2.76,3.1,462799,2.83,3.19,2.76,3.1,462799,0.0,1.0
TCS,2020-05-29 00:00:00+00:00,2.85,2.91,2.65,2.75,267021,2.85,2.91,2.65,2.75,267021,0.0,1.0
TCS,2020-06-01 00:00:00+00:00,3.03,3.19,2.85,2.93,227861,3.03,3.19,2.85,2.93,227861,0.0,1.0
TCS,2020-06-02 00:00:00+00:00,2.99,3.26,2.93,3.1,285631,2.99,3.26,2.93,3.1,285631,0.0,1.0
TCS,2020-06-03 00:00:00+00:00,3.13,3.25,3.11,3.2,248889,3.13,3.25,3.11,3.2,248889,0.0,1.0
TCS,2020-06-04 00:00:00+00:00,3.25,3.36,3.0401,3.05,186020,3.25,3.36,3.0401,3.05,186020,0.0,1.0
TCS,2020-06-05 00:00:00+00:00,3.64,3.8,3.45,3.48,405129,3.64,3.8,3.45,3.48,405129,0.0,1.0
TCS,2020-06-08 00:00:00+00:00,3.9,4.03,3.7794,3.8,386629,3.9,4.03,3.7794,3.8,386629,0.0,1.0
TCS,2020-06-09 00:00:00+00:00,3.86,3.96,3.47,3.85,332815,3.86,3.96,3.47,3.85,332815,0.0,1.0
TCS,2020-06-10 00:00:00+00:00,3.45,3.86,3.09,3.86,398302,3.45,3.86,3.09,3.86,398302,0.0,1.0
TCS,2020-06-11 00:00:00+00:00,2.73,3.1199,2.7,2.9,531188,2.73,3.1199,2.7,2.9,531188,0.0,1.0
TCS,2020-06-12 00:00:00+00:00,3.27,3.44,2.9,2.95,459428,3.27,3.44,2.9,2.95,459428,0.0,1.0
TCS,2020-06-15 00:00:00+00:00,3.19,3.35,2.95,3.0,214841,3.19,3.35,2.95,3.0,214841,0.0,1.0
TCS,2020-06-16 00:00:00+00:00,3.36,3.47,3.2101,3.4,306939,3.36,3.47,3.2101,3.4,306939,0.0,1.0
TCS,2020-06-17 00:00:00+00:00,3.21,3.36,3.11,3.35,200193,3.21,3.36,3.11,3.35,200193,0.0,1.0
TCS,2020-06-18 00:00:00+00:00,3.22,3.41,3.06,3.12,142633,3.22,3.41,3.06,3.12,142633,0.0,1.0
